column_int,column_float,column_string,column_date,column_timestamp,column_bool
144,204.27,mobile,2022-11-27,2022-10-17 09:31:54,false
439,776.96,multi-tasking,2022-05-05,2022-04-17 23:07:51,false
295,570.41,ability,2022-01-03,2022-05-19 17:24:14,true
646,565.98,responsive,2020-10-04,2022-03-18 22:30:26,true
136,825.46,Mandatory,2022-03-27,2021-10-26 13:01:14,true
326,378.06,knowledge user,2021-03-22,2022-02-03 22:30:59,true
829,367.25,info-mediaries,2022-02-15,2022-03-20 00:40:26,true
394,608.15,Advanced,2022-12-07,2023-06-02 00:47:40,false
822,849.0,structure,2022-12-06,2022-05-10 16:10:15,true
133,951.24,upward-trending,2021-08-31,2021-12-23 10:30:49,true
777,551.28,Decentralized,2022-09-15,2022-09-04 07:23:54,false
504,217.26,demand-driven,2021-10-25,2021-09-22 02:10:23,false
939,281.95,multi-state,2023-03-13,2023-03-04 16:54:05,false
357,241.06,product,2023-03-11,2023-04-10 17:05:56,false
125,106.89,Universal,2022-05-07,2023-02-04 23:22:14,false
650,349.39,attitude,2020-08-25,2021-08-16 15:51:10,true
763,265.87,Networked,2022-02-25,2022-11-01 08:39:10,true
647,473.74,Diverse,2020-12-12,2022-08-04 22:29:28,false
697,409.78,firmware,2022-07-29,2022-06-16 00:44:37,true
583,788.42,24/7,2023-07-05,2020-12-28 12:00:48,false
299,237.0,Distributed,2023-01-15,2021-03-11 01:14:49,true
618,908.76,3rd generation,2022-12-24,2022-04-12 18:54:21,true
860,938.85,system engine,2022-07-01,2023-06-14 15:14:12,false
926,144.01,function,2022-10-31,2020-12-10 03:21:43,true
36,825.41,Horizontal,2022-05-15,2022-08-18 05:28:16,false
900,793.12,adapter,2020-12-30,2022-07-10 02:22:17,true
609,315.86,policy,2020-12-01,2022-01-02 18:18:52,false
360,263.33,Secured,2020-09-21,2021-04-23 04:14:48,true
581,920.87,Configurable,2023-04-02,2023-06-10 20:17:13,false
712,832.0,global,2021-11-07,2022-06-04 15:40:33,true
461,597.54,application,2021-01-09,2023-06-13 16:36:38,true
994,964.04,global,2020-09-26,2020-12-26 10:12:46,false
217,259.8,contextually-based,2021-09-18,2022-04-17 14:16:01,false
934,274.66,concept,2021-07-19,2022-08-22 11:15:28,false
763,643.02,high-level,2021-06-05,2023-06-01 12:01:42,false
585,571.87,Organic,2020-11-16,2022-09-12 01:15:17,false
15,483.09,task-force,2022-12-15,2021-10-22 14:49:12,true
723,601.05,next generation,2020-09-03,2022-08-01 22:40:58,false
322,189.82,open architecture,2022-12-25,2022-06-15 23:02:24,false
944,804.52,array,2023-07-26,2023-02-05 16:06:25,true
382,973.03,dedicated,2021-06-22,2021-01-16 15:47:21,true
898,487.2,infrastructure,2023-05-10,2021-08-23 00:10:14,false
945,140.93,Synchronised,2023-06-28,2021-09-05 09:50:35,true
511,267.97,Digitized,2020-08-22,2021-12-04 00:23:06,true
863,780.03,Sharable,2021-12-05,2020-09-23 01:09:16,true
886,368.75,attitude,2022-04-30,2022-10-12 01:22:51,false
778,509.24,flexibility,2021-11-15,2021-04-24 04:43:17,true
926,983.1,Quality-focused,2021-07-29,2021-12-30 06:11:32,true
953,596.71,help-desk,2022-06-13,2022-03-04 10:46:11,false
348,508.46,Optional,2020-08-21,2023-06-10 18:17:38,true
189,744.86,product,2023-03-06,2022-08-31 18:06:35,false
579,349.85,installation,2022-09-24,2021-07-08 08:12:50,true
943,212.29,exuding,2020-12-04,2022-12-02 07:51:32,false
472,470.26,Devolved,2021-07-08,2023-07-09 03:00:48,false
708,94.94,neutral,2022-05-13,2021-08-12 10:39:16,false
325,922.14,definition,2020-09-07,2022-08-20 18:52:15,false
11,618.42,Enhanced,2021-06-29,2020-09-22 21:08:51,true
131,873.92,orchestration,2023-05-07,2020-12-11 19:59:01,true
66,804.21,coherent,2023-02-21,2021-09-24 18:38:37,false
915,863.45,Distributed,2022-02-27,2020-12-29 19:17:37,false
79,207.25,eco-centric,2023-05-11,2020-08-20 22:24:24,false
583,690.32,Multi-tiered,2021-06-25,2023-01-09 08:30:00,true
537,405.72,maximized,2022-05-11,2022-12-17 01:38:47,true
283,718.41,Automated,2023-06-17,2022-12-26 01:57:49,false
552,716.71,methodical,2023-07-30,2021-09-08 03:14:43,true
372,52.99,software,2021-12-12,2022-04-18 17:19:26,false
629,74.48,Compatible,2021-08-28,2022-10-08 17:20:28,true
356,697.55,asymmetric,2020-10-07,2022-12-07 08:05:54,false
211,201.29,hybrid,2020-12-30,2023-03-31 06:54:36,true
978,876.49,3rd generation,2023-07-29,2022-07-30 13:34:51,false
346,48.2,user-facing,2022-04-16,2023-05-31 17:50:03,false
920,418.57,frame,2021-02-07,2022-03-22 23:50:46,false
351,681.74,radical,2020-11-02,2021-06-11 22:04:24,true
523,228.68,Diverse,2020-11-30,2022-06-22 11:49:17,true
351,508.9,3rd generation,2022-02-20,2022-11-01 09:17:45,false
216,943.58,asynchronous,2022-06-22,2023-03-15 20:58:10,true
341,534.84,Re-contextualized,2021-11-03,2020-09-12 09:00:12,false
729,230.06,productivity,2022-03-28,2022-09-15 14:21:22,true
374,759.04,Pre-emptive,2022-07-12,2021-04-09 00:44:43,false
207,144.84,attitude,2020-10-07,2022-05-23 15:00:55,false
298,36.59,Fundamental,2023-01-16,2023-06-26 16:45:46,true
713,479.34,ability,2021-09-07,2022-10-13 12:45:01,false
246,136.91,uniform,2021-01-18,2020-09-27 09:01:22,true
539,980.46,solution,2022-11-21,2020-11-23 07:49:45,false
901,398.47,motivating,2021-02-04,2022-06-13 01:08:54,false
706,929.05,next generation,2022-05-25,2023-05-14 06:27:17,true
757,948.53,budgetary management,2022-10-14,2022-10-06 05:04:25,true
112,507.8,interactive,2022-05-29,2021-05-07 19:38:36,true
103,525.87,moratorium,2021-07-27,2022-01-27 18:57:08,false
105,534.81,empowering,2023-07-09,2020-08-25 06:57:23,false
200,187.4,Profound,2021-10-13,2023-01-14 17:19:40,true
89,540.41,framework,2021-09-03,2020-12-14 04:37:51,true
236,64.72,hybrid,2021-11-19,2021-09-19 11:01:50,false
510,118.97,groupware,2022-03-10,2021-11-18 12:57:28,true
110,542.75,hub,2021-09-25,2020-11-16 01:41:07,true
415,985.0,incremental,2022-06-04,2022-09-17 14:31:35,false
217,383.04,optimizing,2023-02-01,2022-08-18 14:00:42,true
981,552.15,knowledge base,2022-03-16,2022-11-14 04:55:47,true
16,666.51,Expanded,2021-10-15,2020-11-07 10:28:45,true
885,718.61,heuristic,2023-06-05,2020-10-19 18:10:53,false
453,268.49,regional,2021-04-24,2023-04-27 02:38:05,false
570,966.8,Vision-oriented,2022-05-21,2020-11-11 06:43:58,false
58,704.04,coherent,2023-03-15,2020-12-03 18:23:26,true
261,472.03,next generation,2022-11-07,2022-10-24 07:47:01,false
49,748.33,hardware,2022-12-09,2021-02-06 10:00:36,true
697,123.26,Centralized,2023-01-26,2020-09-23 10:31:34,true
492,928.12,Synergized,2021-05-06,2020-12-02 21:45:28,false
96,525.94,Distributed,2023-02-11,2021-01-23 20:19:15,false
87,921.12,Face to face,2023-06-21,2022-08-26 21:00:25,true
682,494.7,didactic,2021-08-27,2022-07-14 21:19:17,false
664,240.26,optimal,2022-10-08,2023-08-01 22:50:41,true
130,752.19,zero tolerance,2020-11-21,2023-06-08 01:03:47,false
338,567.34,support,2020-12-11,2022-09-28 02:22:23,false
273,505.62,intermediate,2021-11-29,2023-01-23 19:35:33,false
481,179.06,Multi-lateral,2023-07-18,2022-04-04 02:08:17,false
165,948.74,systematic,2023-02-05,2022-11-30 21:48:42,true
869,783.51,collaboration,2022-02-26,2020-11-24 17:39:56,false
960,338.47,Realigned,2023-06-27,2021-03-27 17:05:45,false
865,704.19,Visionary,2022-01-07,2022-09-07 10:21:11,true
190,580.19,empowering,2023-06-12,2023-06-25 12:28:42,true
64,221.19,Streamlined,2023-02-08,2023-02-17 04:12:03,false
969,752.62,24 hour,2021-03-07,2020-11-30 18:32:12,false
58,335.58,Open-architected,2023-03-03,2021-05-22 00:30:28,true
987,110.91,Organized,2021-03-26,2023-06-03 20:38:09,true
460,979.63,Self-enabling,2022-08-17,2021-02-26 03:33:17,true
408,283.79,artificial intelligence,2023-05-21,2023-01-12 16:20:58,false
406,184.44,client-driven,2022-04-17,2020-11-21 15:46:58,true
934,5.08,leverage,2020-10-07,2021-07-27 17:24:41,false
283,766.69,value-added,2023-04-06,2021-10-13 05:22:26,true
49,270.33,hardware,2022-05-21,2023-04-27 19:58:38,false
641,83.66,Innovative,2021-12-23,2023-02-02 07:21:53,false
932,698.73,Automated,2021-09-14,2022-05-25 10:08:05,true
807,971.42,Robust,2020-11-21,2022-03-02 03:34:43,true
571,541.2,interactive,2021-03-15,2022-11-30 18:09:32,false
683,96.94,process improvement,2022-07-05,2023-04-17 12:58:37,false
672,773.62,Total,2023-01-07,2021-06-12 13:01:38,true
663,961.79,success,2021-12-03,2022-06-30 03:40:30,true
202,817.44,coherent,2022-02-04,2023-01-07 04:43:06,true
412,838.72,responsive,2021-06-27,2020-09-06 18:55:32,false
109,926.55,access,2021-01-31,2020-08-26 10:19:43,true
673,478.28,Networked,2022-09-06,2022-12-31 10:48:53,true
960,440.85,Universal,2022-04-26,2020-12-14 01:44:06,true
599,924.48,extranet,2022-06-03,2022-07-30 12:30:45,false
678,32.13,upward-trending,2022-01-08,2022-06-12 23:33:00,true
277,522.36,Advanced,2023-04-13,2021-01-05 04:09:28,false
114,613.03,Universal,2020-10-22,2022-12-03 13:42:04,false
272,373.62,capacity,2021-11-17,2020-11-23 13:32:43,false
1,466.18,complexity,2023-05-29,2022-10-17 09:45:49,true
328,507.72,intranet,2023-03-23,2020-12-12 10:04:40,false
