column_int,column_float,column_string,column_date,column_👺stamp,column_bool
781,Reduced,Reduced,2022-07-10,2021-05-10 11:17:57,👺
695,987.88,Ergonomic,2021-05-14,2021-07-06 19:40:30,true
,19.49,Adaptive,2020-12-24,2022-10-25 05:34:33,false
980,545.03,zero tolerance,2021-10-05,2023-01-01 05:46:50,true
376,,algorithm,2023-04-28,2021-12-11 12:13:53,false
835,484.03,task-force,2023-04-07,2021-05-17 17:20:34,false
183,57.81,content-based,2022-04-09,2020-10-02 13:17:35,👺
213,354.51,intranet,2021-05-14,2021-09-06 08:04:36,true
524,493.63,Total,2020-12-14,2021-04-02 00:37:27,false
947,879.63,👺,2021-06-06,2022-11-07 00:45:27,false
228,986.13,User-friendly,2021-09-29,2022-12-07 07:32:26,false
53,244.81,knowledge base,2021-08-04,2021-03-31 18:53:43,true
478,852.78,task-force,2020-09-19,2021-11-26 05:30:59,false
,,,2020-12-29,2023-01-05 18:26:54,true
136,,,2023-01-17,2022-06-03 13:58:43,true
659,826.78,,2022-07-28,2022-06-27 23:09:36,true
87,552.19,Extended,2022-09-24,2020-10-15 02:27:38,false
873,335.66,Polarised,2021-04-29,2023-06-10 01:55:15,true
470,649.4,Synchronised,2023-04-12,2021-01-13 06:42:14,true
458,251.65,,2021-03-26,2021-09-05 01:07:34,true
633,80.51,bandwidth-monitored,2021-02-03,2020-10-24 03:24:18,true
251,,,2022-04-16,2021-04-21 04:18:14,true
815,533.8,collaboration,2021-03-04,2022-07-31 17:41:44,true
689,962.54,zero tolerance,2020-10-16,2022-12-26 18:23:29,false
380,676.69,hardware,2022-01-22,2022-02-17 15:02:32,false
62,674.84,service-desk,2020-11-28,2023-02-24 05:20:05,false
887,,Grass-roots,2021-07-28,2022-07-23 18:05:07,true
370,176.67,Organized,2021-01-07,2023-04-08 18:26:26,true
132,,,2022-06-20,2021-10-29 19:34:37,
411,712.54,Quality-focused,2022-10-02,2022-10-25 02:55:01,false
609,641.99,modular,2020-11-23,2021-07-07 19:53:44,false
361,109.03,,2022-10-04,2021-03-29 08:26:17,true
,74.81,matrices,2022-02-24,2021-02-21 13:19:23,false
365,,web-enabled,2020-12-24,2021-12-12 14:49:06,true
985,,Diverse,2020-11-21,2022-03-11 16:33:58,true
21,72.38,4th generation,2023-07-19,2022-06-24 17:46:05,true
935,,intermediate,2022-08-20,2022-04-03 23:28:46,true
522,,impactful,2022-07-13,2021-12-01 14:56:36,true
674,123.14,mobile,2020-08-29,2023-04-09 00:32:37,false
464,884.9,Multi-channelled,2022-09-18,2023-06-14 02:28:44,true
,,scalable,2022-06-21,2022-05-20 22:17:17,true
781,23.61,,2022-03-02,2023-06-07 12:48:50,false
167,873.66,secondary,2021-04-16,2020-10-08 18:30:17,true
145,,,2023-07-01,2020-08-21 12:12:37,
,307.63,,2021-06-20,2022-07-01 10:01:35,true
762,548.06,zero administration,2020-09-27,2021-09-12 22:32:37,false
82,139.74,Quality-focused,2020-09-15,2020-09-03 02:16:26,false
263,723.56,leverage,2021-02-04,2022-07-15 07:45:25,true
399,846.36,👺,2022-10-04,2022-11-08 09:54:14,false
902,,middleware,2021-03-10,2021-11-14 10:36:05,true
,62.63,context-sensitive,2020-09-20,2021-02-06 06:43:40,true
494,,approach,2021-07-10,2021-02-02 04:07:07,false
,762.09,utilisation,2020-10-31,2023-04-01 22:35:43,false
768,928.27,dedicated,2023-03-26,2021-09-04 20:50:23,false
865,500.77,holistic,2023-07-09,2022-07-24 17:41:47,false
295,197.7,,2023-08-10,2023-02-12 04:28:06,false
203,574.34,Secured,2020-12-16,2023-06-05 19:26:17,false
77,861.04,De-engineered,2022-02-07,2021-04-05 04:29:58,false
688,797.73,protocol,2021-08-17,2022-06-23 03:27:05,
972,525.24,analyzer,2021-12-27,2023-07-11 08:25:45,false
68,544.3,product,2022-01-22,2020-09-28 15:01:26,true
62,550.05,next generation,2022-11-23,2022-12-30 11:34:00,false
949,492.0,Cross-platform,2022-11-10,2023-03-12 13:39:11,true
514,651.83,contingency,2022-02-10,2023-07-03 20:47:26,false
616,858.32,Polarised,2022-09-19,2023-04-07 07:39:58,true
415,7.35,clear-thinking,2021-12-16,2022-04-21 06:11:33,false
638,430.29,Cross-platform,2022-11-11,2022-02-12 19:57:50,true
995,486.92,support,2020-08-25,2022-08-25 09:42:04,true
75,,human-resource,2022-01-14,2022-11-10 13:42:22,true
872,869.32,Switchable,2022-01-02,2022-08-19 02:19:40,false
58,698.06,24/7,2020-10-13,2020-12-09 15:01:56,true
543,353.89,Object-based,2021-08-25,2021-08-09 18:10:29,true
20,298.52,matrices,2021-05-15,2022-06-08 20:17:13,false
,982.06,challenge,2020-08-24,2020-08-19 23:49:05,false
344,896.02,firmware,2022-10-20,,false
718,289.52,Inverse,2022-03-26,2021-05-11 14:42:05,
575,731.85,Integrated,2020-08-15,2022-08-14 00:03:08,false
,161.37,Team-oriented,2020-11-21,2021-03-02 05:49:23,true
916,580.06,static,2021-08-06,2021-05-01 10:18:24,
658,251.11,neutral,,2023-08-05 08:57:40,
564,554.86,motivating,2020-11-26,2022-01-08 20:37:49,false
214,872.28,contingency,2022-10-14,2021-06-21 08:25:12,true
,446.43,Mandatory,Reduced,2021-09-05 15:39:49,true
,618.17,multi-tasking,2023-02-09,2020-10-03 10:42:08,
773,957.4,solution,2021-01-07,2023-07-05 01:14:12,true
859,289.63,complexity,2022-11-21,,false
75,413.07,6th generation,2021-07-04,2020-12-12 10:37:31,false
690,720.27,,2021-01-30,2023-03-15 14:22:03,
489,23.55,local area network,2023-02-19,2021-11-20 21:33:42,true
389,140.3,emulation,2022-05-31,2022-03-15 01:14:37,true
763,588.54,zero defect,2022-06-10,2021-06-18 08:06:54,
,463.3,,2020-09-18,2022-07-11 12:11:22,false
,258.02,impactful,2023-08-04,2022-03-10 16:27:38,true
797,50.82,Digitized,,2022-07-31 06:52:23,
930,369.14,real-time,2023-01-09,2022-05-28 10:17:43,false
,,,2022-12-17,2023-05-26 15:18:07,true
634,,customer loyalty,2022-12-12,2021-05-07 16:31:10,
,535.37,,2022-02-21,2022-05-13 16:27:59,true
373,,Phased,2021-07-06,2021-10-27 19:05:59,false
323,,Centralized,2022-04-14,2020-08-30 01:24:10,false
457,407.44,Centralized,2022-10-02,2023-03-18 06:14:32,true
401,,intranet,,2020-10-12 08:46:01,false
742,34.14,Upgradable,2023-04-06,2021-03-25 10:24:31,false
547,443.41,capability,2021-01-04,2023-05-26 07:09:10,false
545,626.03,Centralized,2023-06-13,2022-01-12 16:14:40,false
325,,Expanded,2023-01-10,2021-07-19 06:46:31,true
320,39.0,explicit,2021-09-12,2022-09-08 21:19:18,true
253,478.72,explicit,2023-02-21,2023-01-02 13:35:29,
44,,neutral,2023-06-04,2023-01-08 12:08:32,
972,680.53,maximized,2022-08-30,2020-11-18 18:48:18,false
118,706.51,interactive,2023-03-13,2023-04-10 16:22:17,false
,589.45,next generation,2021-02-11,2022-10-01 03:01:33,true
359,779.94,Optimized,2023-08-10,,true
352,317.56,structure,2020-12-13,2023-08-11 13:14:21,true
486,,Innovative,2022-02-21,2022-09-08 14:15:20,false
221,387.79,Mandatory,2021-02-26,2021-07-15 10:18:40,true
,419.05,dynamic,2022-05-03,2023-04-14 23:48:24,false
802,328.43,Front-line,2022-11-26,2022-07-17 01:20:21,false
567,532.5,,2021-02-02,2022-11-14 09:53:24,false
330,188.15,directional,2021-12-21,2023-06-13 01:03:43,false
179,643.77,full-range,2022-12-06,2022-09-03 03:57:53,true
245,750.84,complexity,2022-04-25,2021-08-06 22:55:21,
751,798.71,,2020-10-24,2022-07-28 00:53:48,true
340,938.19,heuristic,2022-10-05,2022-04-07 00:14:53,true
605,,Self-enabling,2021-03-03,2023-07-16 13:05:03,false
41,347.56,,2021-03-28,2023-01-06 14:39:58,true
159,696.81,foreground,2021-02-07,2021-09-21 20:03:30,false
273,485.64,zero defect,2022-04-02,2022-05-08 04:30:17,true
937,,,2020-10-15,2022-05-09 02:22:09,false
203,849.28,firmware,2023-06-22,2020-11-25 04:04:16,false
,7.93,coherent,2021-05-07,2022-03-07 01:07:48,true
116,319.15,clear-thinking,2022-12-27,2022-05-25 00:59:49,true
842,105.06,User-friendly,,,false
576,855.52,budgetary management,2021-08-14,2022-02-24 18:30:57,false
570,845.45,,2022-08-27,2022-05-02 21:15:35,true
817,897.18,impactful,2022-10-17,2021-03-15 01:27:53,false
333,131.04,user-facing,2021-06-14,2023-04-09 02:20:07,false
187,136.87,Synergized,2022-02-18,2020-09-03 01:12:09,2022-02-18
287,201.76,Implemented,2023-03-10,2022-10-01 14:25:57,true
184,,hub,2021-04-24,2023-01-15 23:23:15,false
495,732.69,demand-driven,2021-02-08,2023-01-07 01:30:55,false
,199.87,architecture,2021-03-29,,true
1,293.91,,2020-11-15,2022-01-12 03:56:56,false
805,783.5,Re-contextualized,2021-07-18,2022-08-14 11:16:59,false
273,,hybrid,2020-11-12,2023-07-07 14:31:21,true
298,392.52,contingency,2023-04-16,2020-08-18 03:33:29,false
565,240.28,Focused,2023-05-23,2022-07-03 04:17:56,
756,,directional,2022-08-16,2021-05-27 19:48:09,
605,273.77,hardware,2021-11-14,2022-12-01 08:17:43,true
517,176.83,mission-critical,2021-06-18,2022-03-19 03:22:24,true
383,615.99,,2023-07-29,2022-12-29 23:52:10,false
285,737.69,pricing structure,2021-04-21,2022-11-30 11:59:46,
755,445.64,Digitized,2021-09-09,2020-11-20 12:58:32,false
849,288.83,,2022-12-25,2023-03-25 22:31:24,true
15,593.41,4th generation,2023-02-06,2021-01-24 08:53:25,false
291,448.44,,2021-03-28,2021-02-06 08:17:53,
331,19.56,,,2023-08-13 08:58:01,
,406.86,synergy,2023-07-30,2021-09-24 09:44:45,false
637,321.83,Synchronised,2022-05-29,2021-07-08 10:52:45,true
671,463.11,systematic,2021-02-16,,true
258,277.44,process improvement,,2022-05-10 13:22:58,false
,397.49,challenge,2022-02-17,2022-07-26 13:59:15,true
217,,scalable,2023-07-04,2022-09-15 23:44:03,false
790,,Horizontal,2023-07-30,2020-10-31 09:09:51,false
731,72.07,,2021-06-29,2022-10-10 20:10:46,
667,511.8,complexity,2023-03-07,2023-03-11 01:21:46,true
,493.47,neutral,2021-02-08,2020-08-31 06:45:21,
198,994.22,Automated,2020-08-16,2022-03-06 02:11:03,false
,249.27,leading edge,2021-07-18,2021-05-21 06:14:21,true
821,,zero defect,2023-01-01,2021-04-17 10:27,false
,802.26,,2022-10-23,2022-02-21 23:13:09,true
701,,Assimilated,2022-05-15,,false
224,891.67,bifurcated,,2021-08-15 11:41:09,false
,232.55,,2023-07-23,2022-10-25 12:46:16,false
,,Synergistic,2021-04-05,2023-06-27 21:43:56,true
923,708.9,,2021-09-29,2023-04-27 15:47:53,true
793,200.33,Up-sized,2021-07-01,2021-03-26 00:45:40,true
407,,,2020-09-16,,false
311,203.53,eco-centric,2022-07-25,2021-06-24 09:16:21,true
377,821.02,capacity,2021-04-20,2021-04-06 06:34:47,true
996,467.59,leverage,2021-07-08,2023-02-18 13:10:58,false
414,277.05,upward-trending,2020-11-17,2021-03-09 11:16:22,true
809,195.3,Mandatory,2023-07-28,2022-09-03 19:50:51,true
803,149.53,success,2022-03-02,2020-09-24 14:27:59,true
,155.31,,2022-04-25,2022-09-14 14:36:31,true
372,921.46,toolset,2020-11-08,2022-08-12 18:28:26,true
789,,Function-based,2020-09-09,2020-12-26 19:29:49,true
976,320.69,👺,2022-03-05,2020-09-👺 06:13:19,true
690,392.96,neural-net,2020-11-02,2021-08-05 07:37:21,false
976,963.32,systematic,2022-04-26,2022-04-14 05:00:54,
883,402.43,Automated,2023-04-30,2021-03-23 15:56:31,true
62,,structure,2021-05-29,2022-04-21 05:50:44,
623,,bi-directional,2022-10-21,2021-11-17 09:32:06,false
